,match,competition,date,position,minutes_played,total_actions,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_percent,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent,pemain
74,PSG - Real Madrid 1:0,Europe. UEFA Champions League,2/15/22,LCMF3,95,116,84,72,0,0,1,0,0,3,71,63,89,9,6,67,0,0,0,1,0,0,21,13,62,1,1,100,2,10,6,60,5,1,20,kroos
75,Real Madrid - Internazionale 2:0,Europe. UEFA Champions League,12/7/21,LCMF,78,79,67,85,1,0,2,1,50,1,65,62,95,10,10,100,1,0,0,0,0,0,2,0,0,0,0,0,3,5,3,60,4,3,75,kroos
76,Sheriff - Real Madrid 0:3,Europe. UEFA Champions League,11/24/21,LCMF3,96,130,120,92,1,0,2,2,100,13,115,109,95,10,8,80,1,0,0,2,2,100,10,6,60,1,0,0,2,4,1,25,7,4,57,kroos
77,Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,11/3/21,LCMF,94,113,86,76,0,0,1,1,100,8,75,72,96,5,4,80,0,0,0,4,4,100,17,11,65,1,1,100,2,3,1,33,5,3,60,kroos
78,Shakhtar Donetsk - Real Madrid 0:5,Europe. UEFA Champions League,10/19/21,LCMF3,78,96,79,82,0,0,2,2,100,5,78,73,94,13,10,77,1,0,0,0,0,0,9,3,33,0,0,0,1,3,1,33,4,3,75,kroos
79,Real Madrid - Sheriff 1:2,Europe. UEFA Champions League,9/28/21,LCMF,32,40,34,85,0,0,2,0,0,0,31,30,97,1,1,100,0,0,0,2,1,50,6,4,67,1,1,100,0,6,0,0,3,3,100,kroos
80,Chelsea - Real Madrid 2:0,Europe. UEFA Champions League,5/5/21,"LCMF, LCMF3",95,110,81,74,0,0,1,1,100,1,82,73,89,7,5,71,1,0,0,2,2,100,10,3,30,3,0,0,5,9,3,33,4,3,75,kroos
81,Real Madrid - Chelsea 1:1,Europe. UEFA Champions League,4/27/21,"LCMF, LCMF3",94,127,95,75,0,0,2,0,0,8,85,78,92,8,7,88,2,0,0,1,0,0,23,11,48,2,2,100,2,9,6,67,6,3,50,kroos
82,Liverpool - Real Madrid 0:0,Europe. UEFA Champions League,4/14/21,LCMF,74,63,41,65,0,0,1,0,0,1,37,34,92,5,4,80,0,0,0,1,1,100,12,4,33,1,0,0,1,2,1,50,3,1,33,kroos
83,Real Madrid - Liverpool 3:1,Europe. UEFA Champions League,4/6/21,"LCMF, LCMF3",95,98,70,71,0,1,1,0,0,1,72,65,90,14,12,86,0,0,0,0,0,0,13,4,31,0,0,0,6,5,1,20,4,0,0,kroos
84,Real Madrid - Atalanta 3:1,Europe. UEFA Champions League,3/16/21,LCMF,95,122,91,75,0,0,1,0,0,1,87,82,94,7,6,86,0,0,0,4,2,50,19,6,32,0,0,0,7,8,5,63,8,4,50,kroos
85,Atalanta - Real Madrid 0:1,Europe. UEFA Champions League,2/24/21,LCMF3,96,152,139,91,0,0,2,0,0,2,133,125,94,17,13,76,2,1,50,2,1,50,10,8,80,1,1,100,2,8,2,25,4,2,50,kroos
